# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       67.168     9641.164
       1.017        0.000       67.168     9641.164
       2.035        0.000       67.168     9641.164
       3.055        0.100       68.055     9641.168
       4.075        0.300       79.938    13845.195
       5.091        0.400       80.496    13886.852
       6.110        0.300       68.781     9658.574
       7.123        0.400       66.512     9658.574
       8.142        0.300       67.355     9659.254
       9.157        0.400       84.258    13860.781
      10.176        0.400       83.891    13862.898
      11.197        0.300       83.242    13868.457
      12.217        0.300       73.020     9659.621
      13.233        0.400       85.965    13879.148
      14.255        0.400       68.730     9658.457
      15.272        0.400       84.664    13841.984
      16.294        0.300       70.867     9658.746
      17.306        0.400       87.590    13869.273
      18.328        0.300       73.902     9660.246
      19.349        0.400       74.188     9660.117
      20.367        0.400       87.047    13877.961
      21.386        0.400       90.410    13871.152
      22.404        0.300       76.824     9669.012
      23.423        0.300       79.922     9669.922
      24.436        0.300       81.027     9677.922
      25.453        0.400       97.762    13879.699
      26.478        0.300       99.102    13879.949
      27.497        0.700       78.648     9695.258
      28.511        0.300       90.695    13902.094
      29.533        0.400       94.785    13914.797
      30.554        0.300       95.898    13924.047
      31.573        0.300       80.441     9711.520
      32.586        0.300       94.867    13920.797
      33.611        0.300       95.594    13930.797
      34.633        0.300       98.391    13920.797
      35.653        0.300      102.496    13930.047
      36.675        0.400      103.141    13930.047
      37.693        0.300       88.531     9720.520
      38.709        0.300       90.773     9720.520
      39.732        0.300      109.043    13931.320
      40.753        0.300       94.613     9720.793
      41.768        0.300       95.328     9720.438
      42.784        0.400       95.906     9720.438
      43.796        0.300       96.605     9720.438
      44.817        0.300       97.352     9720.938
      45.834        0.400       97.719     9720.938
      46.850        0.300       98.062     9720.938
      47.866        0.400       99.059     9721.938
      48.879        0.300       99.668     9721.938
      49.901        0.300       99.762     9721.938
      50.920        0.400      100.348     9730.938
      51.937        1.600      115.984    13941.594
      52.957        0.300      101.906     9733.066
      53.971        0.300      101.922     9732.617
      54.991        0.300      102.156     9732.617
      56.004        0.300      102.461     9732.617
      57.018        0.300      102.180     9746.617
      58.034        0.300      102.637     9746.746
      59.051        0.400      103.156     9746.746
      60.068        1.500      116.941    13947.023
      61.090        1.300      118.676    13956.273
      62.107        0.300      122.426    13966.273
      63.129        0.800      109.703     9745.746
      64.150        0.300      112.723     9745.488
      65.168        0.400      130.344    13973.895
      66.187        0.400      132.457    13965.145
      67.209        0.400      134.539    13966.227
      68.232        0.300      134.129    13989.332
      69.254        0.400      120.184     9762.805
      70.268        0.200      121.934     9762.805
      71.287        0.000      121.934     9762.805
      72.308        0.000      121.934     9762.805
      73.329        0.000      121.934     9762.805
      74.351        0.000      121.934     9762.805
      75.370        0.000      121.934     9762.805
      76.388        0.000      121.934     9762.805
      77.407        0.000      121.934     9762.805
      78.426        0.000      121.934     9762.805
      79.447        0.000      121.934     9762.805
      80.468        0.000      121.934     9762.805
